input,i_sentiment,i_location,reference,r_sentiment,r_location,semantic_similarity
"it was n't bad , but it was n't good .",negative,117752,they have a wide selection of tasty treats .,positive,382424,3.108877658843994
"it was n't bad , but it was n't good .",negative,117752,best experience !,positive,242503,3.0064852237701416
"it was n't bad , but it was n't good .",negative,117752,best brunch deal in town - and hands down the best vegan brunch ever .,positive,339064,3.3638083934783936
"it was n't bad , but it was n't good .",negative,117752,thanks yummy !,positive,328686,3.054948091506958
"it was n't bad , but it was n't good .",negative,117752,"bold statement , right ?",positive,160032,3.3310577869415283
"it was n't bad , but it was n't good .",negative,117752,it 's consistently an enjoyable experience .,positive,187636,3.1749467849731445
"it was n't bad , but it was n't good .",negative,117752,in a good way .,positive,206450,3.0318245887756348
"it was n't bad , but it was n't good .",negative,117752,thanks v & v !,positive,322877,3.105536699295044
"it was n't bad , but it was n't good .",negative,117752,that about sums it up .,positive,216118,3.177673101425171
"it was n't bad , but it was n't good .",negative,117752,a+ really .,positive,328035,3.060990571975708
"it was n't bad , but it was n't good .",negative,117752,"thanks , paul !",positive,230643,3.0919854640960693
"it was n't bad , but it was n't good .",negative,117752,"but man , it was really good .",positive,304768,3.0290513038635254
"it was n't bad , but it was n't good .",negative,117752,major plus !,positive,366914,3.028312921524048
"it was n't bad , but it was n't good .",negative,117752,stay tuned on an update .,positive,345137,3.0540900230407715
"it was n't bad , but it was n't good .",negative,117752,i am a big sushi lover ... and i love i love sushi !,positive,304525,3.181374311447144
"it was n't bad , but it was n't good .",negative,117752,"it 's a clean , friendly environment .",positive,183451,3.148725986480713
"it was n't bad , but it was n't good .",negative,117752,"thank you , thank you , thank you .",positive,260723,3.458639144897461
"it was n't bad , but it was n't good .",negative,117752,thanks central !,positive,383422,3.1118834018707275
"it was n't bad , but it was n't good .",negative,117752,especially this one !,positive,161686,3.0800228118896484
"it was n't bad , but it was n't good .",negative,117752,thanks laurie .,positive,233309,3.020477533340454
"it was n't bad , but it was n't good .",negative,117752,it was flavorful and just right delicious .,positive,314201,3.0790741443634038
"it was n't bad , but it was n't good .",negative,117752,lo-lo 's ... !,positive,370862,3.0430257320404053
"it was n't bad , but it was n't good .",negative,117752,"shrimp dishes are outstanding with large , plump high quality pieces of shrimp .",positive,265309,3.0796942710876465
"it was n't bad , but it was n't good .",negative,117752,huge assortment of meats and cheeses .,positive,383846,3.0240478515625
"it was n't bad , but it was n't good .",negative,117752,it is a beautiful and relaxing skin spa .,positive,266236,3.107217788696289
"it was n't bad , but it was n't good .",negative,117752,"hint , hint ... .",positive,264916,3.124220609664917
"it was n't bad , but it was n't good .",negative,117752,one of our favorite restaurants .,positive,168384,3.017906427383423
"it was n't bad , but it was n't good .",negative,117752,it certainly shows !,positive,237472,3.0725605487823486
"it was n't bad , but it was n't good .",negative,117752,nice !,positive,169234,3.0014655590057373
"it was n't bad , but it was n't good .",negative,117752,very honest !,positive,277292,3.085853099822998
"it was n't bad , but it was n't good .",negative,117752,"no , but it 's pretty good .",positive,375006,3.005450963973999
"it was n't bad , but it was n't good .",negative,117752,"they also have the best desserts and cakes , the freaking best cakes .",positive,278883,3.0609805583953857
the gyro and the hot roast beef sandwich arrived .,negative,128994,the meal comes with a gyro sandwich and french fries and a drink .,positive,336181,3.162193298339844
i do n't suggest coming here whatsoever .,negative,127136,i ca n't recommend this place enough !,positive,252855,3.146317720413208
i do n't suggest coming here whatsoever .,negative,127136,"anyways , i definitely recommend coming here .",positive,250403,3.308571577072144
it was also very loud .,negative,10876,it was band night so it got pretty loud .,positive,372433,3.139603614807129
it was also very loud .,negative,10876,it was pretty crowd .,positive,376232,3.0752413272857666
"excuse me , but i have enough of that already .",negative,55076,the all in one smoothie is the most amazing smoothie i have ever had !,positive,251299,3.150790214538574
"i came here this past week , after not eating for an entire day .",negative,115824,i would definitely eat here again .,positive,160147,3.245849370956421
"i came here this past week , after not eating for an entire day .",negative,115824,i 'll have to come back and actually eat here one day .,positive,348804,3.4050052165985107
"i came here this past week , after not eating for an entire day .",negative,115824,i probably eat here at least once a week .,positive,237334,3.4850025177001958
"i came here this past week , after not eating for an entire day .",negative,115824,come and eat here .,positive,325194,3.1697707176208496
"i came here this past week , after not eating for an entire day .",negative,115824,i 'll definitely be eating here regularly .,positive,236410,3.0669894218444824
the food was over priced and not that great .,negative,73159,great lunch specials that are quick and not over priced .,positive,322244,3.120572328567505
the food was over priced and not that great .,negative,73159,it was great and not so pricey .,positive,301465,3.0920588970184326
the food was over priced and not that great .,negative,73159,food was great and not expensive at all .,positive,182228,3.998481750488281
service was worse than any other sushi restaurant that i 've ever tried .,negative,99908,sushi is amazing chefs are amazing service is amazing .,positive,261324,3.2340595722198486
a large cheese thin crust pizza is _num_ bucks .,negative,48091,the combination of the sweet sauce and cheese blend makes for the perfect pizza .,positive,217374,3.268702507019043
a large cheese thin crust pizza is _num_ bucks .,negative,48091,this place is a great place to grab a thin crust pizza with friends .,positive,189077,3.133365631103516
a large cheese thin crust pizza is _num_ bucks .,negative,48091,the pizza is solid and a good balance of sauce and cheese .,positive,284207,3.1197221279144287
a large cheese thin crust pizza is _num_ bucks .,negative,48091,it 's a great thin crust with a nice cheese : sauce ratio .,positive,365355,3.1110215187072754
this has been over a month of getting breakfast .,negative,18646,this is our favorite place for breakfast .,positive,238827,3.273049116134644
this has been over a month of getting breakfast .,negative,18646,this is a delicious spot especially for lunch .,positive,200793,3.0350074768066406
this has been over a month of getting breakfast .,negative,18646,this is just a nice place to have lunch !,positive,205425,3.107504606246948
this has been over a month of getting breakfast .,negative,18646,this place has the most amazing sunday brunch buffet ever !,positive,276207,3.085690259933472
this has been over a month of getting breakfast .,negative,18646,this is a good breakfast place .,positive,231294,3.158439874649048
this has been over a month of getting breakfast .,negative,18646,this place has very good breakfast for a very good price .,positive,262072,3.011932134628296
this has been over a month of getting breakfast .,negative,18646,this is one of my favorite weekend breakfast stops .,positive,187951,3.0485689640045166
this has been over a month of getting breakfast .,negative,18646,wow - what an impressive breakfast .,positive,280365,3.002815008163452
this has been over a month of getting breakfast .,negative,18646,this is my favorite of all time breakfast spot .,positive,238809,3.1100542545318604
not rib meat .,negative,8574,best brunch deal in town - and hands down the best vegan brunch ever .,positive,339064,3.038109540939331
this place is a total joke .,negative,117319,"friendly , funny , and great sense of humor .",positive,337103,3.1991946697235107
this place is a total joke .,negative,117319,this place is serious !,positive,280667,3.7107207775115967
the salad selection was less than fresh to say the least .,negative,133579,the to go salads are fresh and more than you can eat .,positive,213097,3.461320161819458
the salad selection was less than fresh to say the least .,negative,133579,"salsa was tasty , and everything was fresh .",positive,366178,3.219538450241089
we would give it _num_ ( or negative ) stars if we could !,negative,33643,i give this restaurant a solid _num_ stars !,positive,203077,3.2011516094207764
we would give it _num_ ( or negative ) stars if we could !,negative,33643,definitely _num_ stars !,positive,271761,3.4421887397766118
we would give it _num_ ( or negative ) stars if we could !,negative,33643,i easily give this museum `` _num_ '' stars !,positive,193066,3.223419427871704
we would give it _num_ ( or negative ) stars if we could !,negative,33643,this place deserves _num_ stars !,positive,281498,3.448628187179565
i am not going back there anymore to eat .,negative,127153,i would definitely eat here again .,positive,160147,3.621630907058716
my first time going to this restaurant and will never return .,negative,64375,it was my first time here and i will certainly be back .,positive,349070,3.017322301864624
my first time going to this restaurant and will never return .,negative,64375,our first time there and we 'll be returning !,positive,382559,3.09946084022522
my first time going to this restaurant and will never return .,negative,64375,"small little restaurant with friendly staff , i will be coming back !",positive,263827,3.089027643203736
my first time going to this restaurant and will never return .,negative,64375,we will most definitely return to this restaurant !,positive,343932,3.2687888145446777
"the food was good , but our service was horrible !",negative,80407,awesome food and the service was great .,positive,350273,3.0376336574554443
"the food was good , but our service was horrible !",negative,80407,"the food here is always good , but the customer service is fabulous !",positive,252782,3.045485019683838
"the food was good , but our service was horrible !",negative,80407,"service is decent but food is excellent , and that 's all that matters .",positive,308756,3.121637344360352
"the food was good , but our service was horrible !",negative,80407,good service and good food !,positive,345951,3.004128932952881
"the food was good , but our service was horrible !",negative,80407,good food with great service !,positive,306984,3.003275156021118
"the food was good , but our service was horrible !",negative,80407,"food was great , service was great , drinks were great .",positive,350413,3.143693685531616
"the food was good , but our service was horrible !",negative,80407,"the service has always been good , the food has always been good .",positive,345947,3.1337087154388428
"the food was good , but our service was horrible !",negative,80407,but the food was terrific and the service was great .,positive,257763,3.314905405044556
"the food was good , but our service was horrible !",negative,80407,the food was great and the service was amazing .,positive,215086,3.082249641418457
"the food was good , but our service was horrible !",negative,80407,the service was excellent and the food was outstanding !,positive,235606,3.2488396167755127
"the food was good , but our service was horrible !",negative,80407,but the food and service was good .,positive,183900,3.2042272090911865
"the food was good , but our service was horrible !",negative,80407,the food was excellent and the service was great .,positive,233471,3.265536308288574
"the food was good , but our service was horrible !",negative,80407,the service was pretty good and the food was decent .,positive,368490,3.301311731338501
"the food was good , but our service was horrible !",negative,80407,"the food has always been good , service has almost always been good .",positive,273590,3.016016721725464
"the food was good , but our service was horrible !",negative,80407,the service is great and the food is very good .,positive,237338,3.0454888343811035
"the food was good , but our service was horrible !",negative,80407,"food was very good , and service was excellent .",positive,167692,3.261749744415283
"the food was good , but our service was horrible !",negative,80407,"service was excellent , food was good there .",positive,260968,3.2039096355438232
"the food was good , but our service was horrible !",negative,80407,the service was excellent and the food was amazing !,positive,333894,3.219740152359009
"the food was good , but our service was horrible !",negative,80407,food was excellent but the service was outstanding !,positive,378574,3.482022285461426
"the food was good , but our service was horrible !",negative,80407,have to say the service and food were very good .,positive,204678,3.0350804328918457
do n't expect customer service !,negative,20515,"do n't expect a good service here , which gives the more authentic feeling .",positive,364592,3.204406261444092
this hotel was awful .,negative,21014,awesome hotel .,positive,245083,4.16111421585083
i would eat supermarket sushi over the place .,negative,64734,i have always loved seafood .,positive,359229,3.162651300430298
i would eat supermarket sushi over the place .,negative,64734,"overall , a great sushi restaurant .",positive,181180,3.2171547412872314
i would eat supermarket sushi over the place .,negative,64734,i love sushi and this place rocks !,positive,261383,3.0209755897521973
i would eat supermarket sushi over the place .,negative,64734,i had the sushi dinner and it was fresh and tasty .,positive,268292,3.2515511512756348
i would eat supermarket sushi over the place .,negative,64734,i 've had sushi all over the country and this is truly top tier .,positive,273038,3.0264792442321777
i would eat supermarket sushi over the place .,negative,64734,"great sushi , great all you can eat prices , overall an outstanding place !",positive,251121,3.0772573947906494
i would eat supermarket sushi over the place .,negative,64734,i eat it with sashimi - yummy flavor explosion !,positive,273028,3.1924169063568115
i will never visit this place again .,negative,24940,i 'll definitely be going back here .,positive,348877,3.5797507762908936
i will never visit this place again .,negative,24940,i will visit again .,positive,244588,3.898030996322632
i will never visit this place again .,negative,24940,i will return to this place .,positive,341525,3.70403790473938
i will never visit this place again .,negative,24940,i will surely come back again !,positive,224877,3.309144258499145
i will never visit this place again .,negative,24940,i will come back to this spot every time i am in town .,positive,167924,3.028138399124145
i will never visit this place again .,negative,24940,i will definitely go back when we are in town again .,positive,219956,3.166635751724243
i will never visit this place again .,negative,24940,i 'll definitely return to this location !,positive,160142,3.287073373794556
i will never visit this place again .,negative,24940,i will absolutely be going here again and again .,positive,332542,3.956561326980591
i will never visit this place again .,negative,24940,i will absolutely come here again .,positive,279774,3.9540646076202393
i will never visit this place again .,negative,24940,i will always come here .,positive,370499,4.189605236053467
i will never visit this place again .,negative,24940,will be visiting this place again sometime soon !,positive,347643,3.2504212856292725
i will never visit this place again .,negative,24940,i like this location and will definitely return .,positive,272744,3.034489154815674
i will never visit this place again .,negative,24940,i will definitely be going back there .,positive,268181,3.2808308601379395
i will never visit this place again .,negative,24940,will definitely come to this location again .,positive,290549,3.187963485717773
i will never visit this place again .,negative,24940,i 'll most definitely return .,positive,316807,3.096485137939453
i will never visit this place again .,negative,24940,i will definetly be coming back to this location time and time again !,positive,277382,3.4784281253814697
i will never visit this place again .,negative,24940,i will definitely continue going here .,positive,288268,3.138460636138916
i will never visit this place again .,negative,24940,i will definitely be making a return visit .,positive,351025,3.5400195121765137
all that most of us expect is to be treated simply as a customer .,negative,147998,they treat all of their customers with care .,positive,260731,3.15911078453064
the prices was way too high .,negative,59381,price just a bit high .,positive,204694,3.069396734237671
no meat .,negative,6198,best brunch deal in town - and hands down the best vegan brunch ever .,positive,339064,3.2965924739837646
the staff was so rude !,negative,20408,"the staff is knowledgeable , honest , and polite .",positive,273259,3.059617519378662
the staff was so rude !,negative,20408,the staff was really friendly and helpful !,positive,277584,3.147049188613892
the staff was so rude !,negative,20408,the staff was extremely friendly and very quick .,positive,196077,3.3691680431365967
the staff was so rude !,negative,20408,"the staff were really friendly , helpful , and very respectful of their customers .",positive,320221,3.044189929962158
the staff was so rude !,negative,20408,the doctors and staff are all extremely nice !,positive,351301,3.0853755474090576
the staff was so rude !,negative,20408,all the staff was nice .,positive,378521,3.025836944580078
the staff was so rude !,negative,20408,staff is always helpful and very polite .,positive,191574,3.6209423542022714
the staff was so rude !,negative,20408,the staff and doctors were so nice and helpful .,positive,218611,3.3294506072998047
the staff was so rude !,negative,20408,the staff are so incredibly nice !,positive,205122,3.516937255859375
the staff was so rude !,negative,20408,wait staff was extremely friendly and prompt !,positive,358271,3.735053300857544
the staff was so rude !,negative,20408,"in the shop all the time , really helpful and polite staff .",positive,298260,3.2981743812561035
the staff was so rude !,negative,20408,the staff is extremely helpful and courteous .,positive,239258,3.552301406860352
the staff was so rude !,negative,20408,the staff is so nice .,positive,274935,3.3660621643066406
the staff was so rude !,negative,20408,the wait staff is very friendly and courteous .,positive,356301,3.379431962966919
the staff was so rude !,negative,20408,staff was beyond friendly too !,positive,239803,3.089597463607788
the staff was so rude !,negative,20408,the staff there is very friendly and kind .,positive,354326,3.0602381229400635
the staff was so rude !,negative,20408,"every time i go in the employees are impeccably nice , helpful and polite !",positive,291916,3.2085320949554443
the staff was so rude !,negative,20408,the staff was so great and friendly .,positive,244379,3.073296070098877
took _num_ minutes to get bread and another _num_ to get our salads .,negative,82535,the fresh bread they serve is delish and the house salads are amazing .,positive,302694,3.0008273124694824
it was actually the worst mexican food i have ever had .,negative,104973,my favorite place for mexican food !,positive,200098,3.3502748012542725
it was actually the worst mexican food i have ever had .,negative,104973,the best mexican shrimp cocktail ever .,positive,376857,3.1094987392425537
it was actually the worst mexican food i have ever had .,negative,104973,favorite mexican food place of all time .,positive,279563,3.2784454822540283
it was actually the worst mexican food i have ever had .,negative,104973,possibly the best mexican i 've ever had .,positive,227351,3.827213048934937
it was actually the worst mexican food i have ever had .,negative,104973,seriously some of the best chinese food i 've had .,positive,230670,3.0499186515808105
it was actually the worst mexican food i have ever had .,negative,104973,best mexican food hands down !,positive,301328,3.73125958442688
it was actually the worst mexican food i have ever had .,negative,104973,the best mexican food i have had in phoenix !,positive,225639,3.2249081134796143
it was actually the worst mexican food i have ever had .,negative,104973,some of the best chinese food i 've ever had delivered .,positive,325906,3.3525102138519287
it was actually the worst mexican food i have ever had .,negative,104973,great place for fresh and delicious mexican food !,positive,314458,3.215348482131958
it was actually the worst mexican food i have ever had .,negative,104973,this place makes the best chinese food ever .,positive,342672,3.377976179122925
it was actually the worst mexican food i have ever had .,negative,104973,pretty good mexican food .,positive,380807,3.3144872188568115
it was actually the worst mexican food i have ever had .,negative,104973,"seriously some of the best mexican food , i 've had in vegas !",positive,319608,3.248567819595337
it was actually the worst mexican food i have ever had .,negative,104973,this is some of the best mexican food i 've ever had .,positive,255626,4.370367527008057
it was actually the worst mexican food i have ever had .,negative,104973,best mexican food i have found in years .,positive,373463,3.743403673171997
it was actually the worst mexican food i have ever had .,negative,104973,"great , authentic mexican food.",positive,376955,3.086942434310913
it was actually the worst mexican food i have ever had .,negative,104973,some of the best mexican food in the valley !,positive,193516,3.615402936935425
it was actually the worst mexican food i have ever had .,negative,104973,this was possibly the best chinese food i have ever had .,positive,343823,3.9139132499694815
it was actually the worst mexican food i have ever had .,negative,104973,even though this is not authentic mexican food it is still really good food .,positive,253906,3.1898975372314453
it was actually the worst mexican food i have ever had .,negative,104973,great mexican food i stumbled upon while staying nearby on a trip .,positive,181359,3.173172235488892
it was actually the worst mexican food i have ever had .,negative,104973,best mexican in this area .,positive,224769,3.0915355682373047
it was actually the worst mexican food i have ever had .,negative,104973,the food is the best mexican food for white people in phoenix .,positive,230236,3.0886733531951904
it was actually the worst mexican food i have ever had .,negative,104973,"it 's affordable , casual mexican food .",positive,284520,3.006819009780884
it was actually the worst mexican food i have ever had .,negative,104973,in my opinion this is the best mexican place in town .,positive,337070,3.1490612030029297
it was actually the worst mexican food i have ever had .,negative,104973,excellent mexican food .,positive,182566,3.4921388626098637
it was actually the worst mexican food i have ever had .,negative,104973,"best donut i 've ever had , fresh and amazing , beautiful donuts .",positive,321679,3.0164382457733154
it was actually the worst mexican food i have ever had .,negative,104973,one of the best places to eat mexican food in the area .,positive,250474,3.709733724594116
it was actually the worst mexican food i have ever had .,negative,104973,one of the best original mexican food places in arizona .,positive,190905,3.04966402053833
it was actually the worst mexican food i have ever had .,negative,104973,best mexican meal we could have asked for !,positive,193249,3.1852269172668457
it was actually the worst mexican food i have ever had .,negative,104973,it is my favorite mexican food of all time .,positive,272256,3.91128134727478
it was actually the worst mexican food i have ever had .,negative,104973,great place for mexican food .,positive,337026,3.3279459476470947
it was actually the worst mexican food i have ever had .,negative,104973,literally one of the best desserts i 've ever had .,positive,278897,3.008059501647949
it was actually the worst mexican food i have ever had .,negative,104973,best mexican food i 've had since i lived in tucson .,positive,356808,3.5552570819854736
these guys here are n't friendly .,negative,151555,all the guys that work here are so friendly .,positive,242021,3.125890016555786
well big mistake !,negative,79029,"clean , clean , and clean !",positive,168879,3.159379243850708
ruined our whole weekend and we will never be going back .,negative,71218,when we finally do need new brakes we will definitely be coming back here .,positive,335724,3.1141932010650635
ruined our whole weekend and we will never be going back .,negative,71218,will be going back soon !,positive,378497,3.0418121814727783
ruined our whole weekend and we will never be going back .,negative,71218,we will definitely be coming back again !,positive,247856,3.0226571559906006
let me first describe the restaurant 's ambience .,negative,19177,"the service has always been good , the food has always been good .",positive,345947,3.01111388206482
let me first describe the restaurant 's ambience .,negative,19177,the restaurant has very nice atmosphere and great service .,positive,278870,3.205669403076172
let me first describe the restaurant 's ambience .,negative,19177,a great restaurant .,positive,196263,3.185386896133423
let me first describe the restaurant 's ambience .,negative,19177,the marriott hotel is a beautiful setting for this terrific restaurant .,positive,236642,3.140257835388184
let me first describe the restaurant 's ambience .,negative,19177,"amazing food , customer service and atmosphere .",positive,255244,3.064567804336548
let me first describe the restaurant 's ambience .,negative,19177,this is a classic hole-in-the-wall restaurant .,positive,361633,3.088774442672729
let me first describe the restaurant 's ambience .,negative,19177,it is a very cute and cozy restaurant !,positive,310349,3.1124074459075928
let me first describe the restaurant 's ambience .,negative,19177,overall it 's a nice restaurant .,positive,198207,3.0929722785949707
let me first describe the restaurant 's ambience .,negative,19177,high end steak place with nice ambiance .,positive,174743,3.0335981845855717
on this visit i choose the grilled chicken and steak tacos .,negative,21286,the chicken burrito and tacos were so delicious .,positive,319516,3.107558250427246
this is the worst customer service i have ever encountered .,negative,107649,this shop has top notch customer service !,positive,244777,3.063127994537353
this is the worst customer service i have ever encountered .,negative,107649,"i must say , this place has great customer service .",positive,294336,3.175355195999145
this is the worst customer service i have ever encountered .,negative,107649,the best service i 've received in a long time .,positive,365019,3.299769163131714
this is the worst customer service i have ever encountered .,negative,107649,the service is the best ever !,positive,327836,3.7111012935638423
this is the worst customer service i have ever encountered .,negative,107649,best brunch deal in town - and hands down the best vegan brunch ever .,positive,339064,3.004070520401001
this is the worst customer service i have ever encountered .,negative,107649,the best customer service ever !,positive,237051,3.737891912460327
this is the worst customer service i have ever encountered .,negative,107649,the service today was the best i 've had .,positive,233728,3.1368520259857178
this is the worst customer service i have ever encountered .,negative,107649,this is what i call excellent customer service .,positive,282361,3.2969970703125
this is the worst customer service i have ever encountered .,negative,107649,"our waitress , jasmine , was probably the best waitress we have ever had .",positive,247780,3.128300428390503
"food is mediocre at best , and was served lukewarm .",negative,47702,"service is decent but food is excellent , and that 's all that matters .",positive,308756,3.188566207885742
"food is mediocre at best , and was served lukewarm .",negative,47702,"the service has always been good , the food has always been good .",positive,345947,3.147425889968872
"food is mediocre at best , and was served lukewarm .",negative,47702,the service was excellent and the food was outstanding !,positive,235606,3.030094146728516
"food is mediocre at best , and was served lukewarm .",negative,47702,the service is excellent and food was superb .,positive,383287,3.2863166332244877
"food is mediocre at best , and was served lukewarm .",negative,47702,"the food has always been good , service has almost always been good .",positive,273590,3.0656580924987797
"food is mediocre at best , and was served lukewarm .",negative,47702,"food was very good , and service was excellent .",positive,167692,3.372786283493042
"food is mediocre at best , and was served lukewarm .",negative,47702,"stellar food , and excellent service .",positive,228834,3.01875638961792
"food is mediocre at best , and was served lukewarm .",negative,47702,"service was excellent , food was good there .",positive,260968,3.202841758728028
"food is mediocre at best , and was served lukewarm .",negative,47702,service and food are excellent .,positive,254642,3.028342962265014
"food is mediocre at best , and was served lukewarm .",negative,47702,"the service was good , the food was hot and delicious .",positive,323375,3.0417356491088867
"food is mediocre at best , and was served lukewarm .",negative,47702,food was excellent but the service was outstanding !,positive,378574,3.1830878257751465
for location this place is a _num_ star .,negative,10286,i give this restaurant a solid _num_ stars !,positive,203077,3.252459764480591
for location this place is a _num_ star .,negative,10286,this place deserves _num_ stars !,positive,281498,3.896184682846069
the worst food i had ever tasted .,negative,150332,some of the best bar food in the state .,positive,185506,3.2668535709381104
the worst food i had ever tasted .,negative,150332,this place truly does have the best bar food .,positive,274150,3.0480356216430664
the worst food i had ever tasted .,negative,150332,the best italian food in the city !,positive,216716,3.093744993209839
