input,i_sentiment,i_location,reference,r_sentiment,r_location
A bathroom with a shower sink and windows.,neutral,target_2347,A nice but stark bathroom with a skylight is pictured.,positive,source_2347
A bathroom with a toilet and a very dirty bathtub.,negative,source_2353,A bathroom with bear walls and a rusty bathtub.,neutral,target_2353
A dirty looking bathroom with bad lighting and a window,negative,target_2361,An antique bathtub in a house about to be renovated or demolished.,neutral,source_2361
A clean bathroom with a sink and a mirror,neutral,source_2389,A beautiful bathroom decorated in a modern style.,positive,target_2389
A kitchen photo with a double sink with mirror.,neutral,target_2393,A plainly decorated yet clean bathroom is pictured.,positive,source_2393
A kitchen with white cabinets and an island.,neutral,source_2419,A well-appointed kitchen includes ample seating and modern appliances.,positive,target_2419
A cat fast asleep on the hood of a car.,neutral,source_2429,A fluffy cat resting comfortably on a blue chair,positive,target_2429
A very unpleasant looking bathroom with a urinal and commode,negative,target_2489,An oddly shaped toilet and urinal in a public restroom.,neutral,source_2489
A dirty bathroom with toliet paper on the floor.,negative,target_2491,A minimalist bathroom with toilet paper that needs to be cleaned.,neutral,source_2491
A man with his head sticking though the back of a metal television.,negative,target_2501,A gentleman kneeling on the grass with his head in a cardboard television.,neutral,source_2501
A white bathroom with granite countertops and white tile flooring.,neutral,source_2513,The whole view of a full bathroom.,positive,target_2513
Windmills on the ocean and a sign and bench on the beach.,neutral,target_2525,A scenic view of a water front with windmills that stand out on the horizon.,positive,source_2525
A boy standing in a bathroom with a giant hole in the floor.,negative,source_2633,A man standing in at a sink looking in the mirror.,neutral,target_2633
A white bathroom sink with a toothbrush and orange on it.,negative,source_2661,An old style bathroom sink with a toothbrush and orange on it.,neutral,target_2661
A very unsanitary area where it appears food is being prepared.,negative,target_2695,Smoking man cooking in a wok in a dirty kitchen.,neutral,source_2695
A stark white bathroom with a toilet bowl and tub,negative,source_2711,A hole in the bathroom wall borders a spotlessly clean porcelain toilet and bathtub.,neutral,target_2711
A broken item is scattered on the floor of a bathroom.,negative,target_2809,The accessories are placed on the bathroom floor.,neutral,source_2809
People and bikes on the pavement next to buildings.,neutral,source_2903,A celebration in a parking lot with parked bikes.,positive,target_2903
A man and woman in white are in white bed.,neutral,target_3049,A couple laying in bed in each others arms and he is kissing her head.,positive,source_3049
A man kissing a woman's forehead while laying in bed together.,neutral,target_3055,A beautiful blonde woman laying in bed with a man.,positive,source_3055
A kitchen oven with a vented hood over it.,neutral,source_3057,A kitchen with a nice stove and oven and lots of counter space.,positive,target_3057
A toilet is in a bathroom with bright red paint.,negative,target_3093,A toilet in a public restroom with red walls.,neutral,source_3093
a bathroom with a sink and a window,neutral,target_3201,A charming bathroom in an old fashioned house.,positive,source_3201
A kitchen with white kitchen appliances and white cupboards.,neutral,source_3217,Very clean looking kitchen area with white cabinets and matching appliances,positive,target_3217
An empty bathroom with a toilet and sink,negative,target_3241,The door opens on a small dimly lit bathroom.,neutral,source_3241
A kitchen featuring all white appliances and counters.,neutral,source_3343,"A small,very neat and clean kitchen with white appliances.",positive,target_3343
A  stove in a mostly dismantled kitchen that is littered in trash.,negative,source_3415,A stove and refrigerator in the middle of the kitchen.,neutral,target_3415
A filthy kitchen with trash on the floor,negative,source_3421,A large white stove with an oven next to a refrigerator.,neutral,target_3421
"a bathroom with a white trash can, toilet, and a white sink.",negative,target_3449,A photo taken through a window with bathroom reflection.,neutral,source_3449
a boy in a black shirt is holding an orange skateboard,neutral,source_3497,A boy smiling while holding a skateboard on his shoulders.,positive,target_3497
An empty restroom with a white toilet and sink.,negative,source_3533,A sink and a toilet with the door open to the bathroom.,neutral,target_3533
The man is cutting up food on the counter in the kitchen.,negative,source_3631,A man in a kitchen preparing food on a table.,neutral,target_3631
"A bathroom with a toilet, sink, and bath.",neutral,source_3669,"Very clean bathroom with toilet,shower, sink and mirror.",positive,target_3669
A man wearing surgical gloves with his arms on a toilet that is missing the top.,negative,source_3741,A Caucasian plumber works on a toilet in a bathroom.,neutral,target_3741
A white cat lies placidly on the roof of a car.,negative,target_3749,A cat is sitting on top of a shiny surface.,neutral,source_3749
A man standing near the street with a house in the background.,neutral,source_3763,A dapper gentleman standing on a sidewalk in a neighborhood.,positive,target_3763
"An old, periwinkle blue toilet sits without a lid.",negative,target_3811,a blue toilet in a black and white tiled bathroom,neutral,source_3811
Blue toilet with missing lid to the cistern,negative,target_3817,A blue commode in a very small bathroom.,neutral,source_3817
A small child is chewing on  a computer wire,negative,source_3885,A toddler and a baby playing with a computer keyboard.,neutral,target_3885
"The men are talking on a sidewalk under a streetlight,  in view of a child's bike with a broken training wheel.",negative,target_3905,Two men talking outside a nightclub in the dark in front of a child's bike,neutral,source_3905
A young woman cuts food on a cutting board.,negative,target_3979,Lady in kitchen slicing what looks like radishes.,neutral,source_3979
A woman shelling beans while people stand around talking.,negative,source_3989,A woman prepares food to cook on a table.,neutral,target_3989
a dog and a cat sitting next to each other while looking out a window,neutral,target_4027,An adorable dog and cat looking out the front door.,positive,source_4027
a white toilet with a black seat in a stall,negative,target_4039,A black lavatory stall with a black seated toilet.,neutral,source_4039
A man in a bathroom shaving his face.,negative,target_4063,A man shaving his beard with a cat on his shoulder.,neutral,source_4063
A group of bikers sitting on a grassy hilltop.,neutral,source_4111,Many guys are sitting down relaxing after riding there motorcycles.,positive,target_4111
A room filled with a large white dog and lots of food.,neutral,target_4145,A large dog relaxes on the floor of a pantry.,positive,source_4145
Two people are standing in front of an open car trunk holding drinks and a doughnut.,neutral,source_4171,A couple enjoying beverages and a snack on a sunny day,positive,target_4171
Picture of many pots and pans that look like they've been used over fire.,negative,source_4189,"A rustic, outdoor oven surrounded by pots and bowls.",neutral,target_4189
A bathroom with a drain in the middle of the tiled area.,negative,source_4285,"A bathroom with a shower, toilet, and sink.",neutral,target_4285
a plain white bathroom with a toilet and a sink,negative,target_4295,Bathroom with walk in shower and a pedestal sink.,neutral,source_4295
an ice cream truck on a sub urban road,neutral,source_4297,Kids waiting to buy ice cream from the ice cream truck.,positive,target_4297
An ambulance driving by a family of three.,negative,target_4307,A truck and a car are along a treelined street.,neutral,source_4307
A dirty white tiled bathroom with a mop bucket in it.,negative,target_4405,A small bathroom has an all over tile pattern,neutral,source_4405
"An older, dirty bathroom has a large shower.",negative,target_4407,A dirty white tilled shower with shower curtain.,neutral,source_4407
A mess kitchen filled with clutter on top of counters.,negative,source_4417,A painting of a kitchen with wooden cabinets.,neutral,target_4417
A black cat is in a white bathroom sink.,negative,target_4479,A black cat standing in the bathroom sink.,neutral,source_4479
Man is fed a spoonful of food by a woman in front of other people.,negative,target_4491,A woman is giving a taste of her food to a man,neutral,source_4491
A white bathroom sink with hygiene items around it.,negative,source_4561,There is no  image shown here for me to display and so I have nothing specific to write about,neutral,target_4561
A child's bathroom with toiletries on the counter and a decal on the toilet lid.,negative,source_4575,There is a cartoon character on the closed lid of the toilette.,neutral,target_4575
a line of bathroom stalls with a colored floor and white toilets,neutral,source_4611,The speckled floors in the public restroom are clean.,positive,target_4611
A white kitchen with a tile floor needing repair.,negative,source_4633,A kitchen with a tile floor that has lines on it.,neutral,target_4633
A kitchen with a floor that needs some work.,negative,target_4641,A kitche with white cabinets and with appliances.,neutral,source_4641
A close up image of a man outside on a cloudy day.,neutral,target_4657,A person wearing a glove smiles at the camera in front of a blue fence.,positive,source_4657
A kitchen counter with chairs and various pots.,neutral,target_4717,The eat-in kitchen and pot rack show the efficient use of the small space in this apartment.,positive,source_4717
a lot of cars driving on a busy city street,negative,source_4759,a crowded street with buildings yellow cabs and cars and lights,neutral,target_4759
Two settler ladies working in a modern day kitchen.,neutral,target_4805,Two women in historic dress giving a cooking demonstration,positive,source_4805
Boy being given medicine by a parent at bedtime.,negative,target_4843,Adult attempting to feed child in a high chair.,neutral,source_4843
A small child having his teeth brushed by an adult.,negative,source_4849,A young child getting help from a man brushing their teeth.,neutral,target_4849
A truck with a dog sticking its head out the back window in front of a building.,negative,source_4889,A large truck with a dog hanging out of the backseat window.,neutral,target_4889
A dog sticking his head outside of the window of a truck.,negative,source_4897,The dog is hanging out the pickup looking for his owner.,neutral,target_4897
A woman standing in a kitchen preparing tea.,neutral,source_4903,A beautiful red haired lady preparing food in a kitchen.,positive,target_4903
A kitchen cart stands in the middle of a kitchen with wooden cupboards.,neutral,source_4939,A bright kitchen with hardwood floors and wooden cupboards.,positive,target_4939
a kitchen that is fully furnished with a cart in the center of it.,neutral,target_4943,The kitchen is brightly lit from the window.,positive,source_4943
A truck with a covered back full of people.,negative,source_5009,People packed tightly together riding on the back of a pickup truck.,neutral,target_5009
The back of the truck is filled with people traveling down the road.,negative,target_5015,A red covered truck is loaded down with people.,neutral,source_5015
A cat laying in a bathroom sink with a blow dryer.,negative,target_5021,Black cat laying in sink with a plugged in hair dryer.,neutral,source_5021
a animal in a bathroom sink with a blow drier inside,negative,target_5031,There is a pile of clothes in a bathroom sink,neutral,source_5031
A person feeding a sitting dog a treat.,neutral,source_5051,A large husky sitting and waiting for a treat.,positive,target_5051
A poor looking kitchen has a man stirring a big pot.,negative,target_5093,A person stirs one of the pots on a stove.,neutral,source_5093
A chef standing in a kitchen next to a mixer,neutral,source_5119,A chef is standing in a kitchen surrounded by appliances and smiling.,positive,target_5119
Man in chefs attire standing in a large metal kitchen.,neutral,target_5121,A man in a chef coat is smiling in a kitchen.,positive,source_5121
six knives hanging on the wall and some beer bottles,negative,target_5143,A collection of kitchen knives hanging on the wall.,neutral,source_5143
A bike parked in a bunch of grass on a sidewalk in front of a wall with graffiti.,negative,source_5157,A parked bike in front of a building,neutral,target_5157
A bathroom with a toilet that has no tank.,negative,target_5179,A simple white bathroom has the look and feel of a spa setting.,positive,source_5179
A photoshopped picture of a bathroom with the floor missing and a guy falling through the sky.,negative,target_5215,A bathroom with a large bathtub next to a sink and toilet.flying high in the sky with no floor.,neutral,source_5215
A black and white photo of a kitchen table and chairs.,neutral,source_5249,Four chairs sit around a table in a very clean kitchen.,positive,target_5249
A black and white scene of a kitchen.,neutral,target_5251,A kitchen that has three wooden chairs and a tablecloth is in good order.,positive,source_5251
A bathroom has green paint and a brown window.,neutral,target_5343,A pretty arts and crafts style bathroom is featured.,positive,source_5343
A man has a ponytail on top of his head,neutral,target_5365,A man with a top-knot waiting for a sporting event.,positive,source_5365
A man with his hair in a top knot watches something while a group gathers by a fence.,neutral,target_5367,British Columbia man posses with hockey stick and great hockey hair.,positive,source_5367
"A woman stands, straddling her bike, while a little dog sits in a basket on the handle bars.",neutral,target_5373,A pretty woman riding a bike next to a small shop.,positive,source_5373
A woman is sitting on a bicycle with her dog in a basket.,neutral,target_5379,A smiling woman is on a green bicycle.,positive,source_5379
two women with a yellow bicycle are walking across a street,neutral,target_5397,Two beautiful red haired women walking a bike across a street.,positive,source_5397
A bathroom with a whirlpool tub and candles,neutral,target_5503,A LUXURIOUS BATHROOM COMPLETE WITH JACUZZI TUB AND STAND ALONE SHOWER,positive,source_5503
A girl with a broken arm standing in a bathroom,negative,target_5545,A young girl with an arm cast in a bathroom.,neutral,source_5545
A girl with a cast on her arm stands in a bathroom.,negative,target_5547,"A young lady with one arm in a sling, stands in the bathroom.",neutral,source_5547
A picture of a kitchen area with a fireplace.,neutral,source_5571,An elegant kitchen has an attached stone fireplace,positive,target_5571
A white bathroom with a clear green tinted sink and a standing shower.,neutral,target_5617,Modern looking three piece bathroom with glass shower and green bowl sink that has towel holder beneath it.,positive,source_5617
A bathroom with white tiles and a green sink.,neutral,target_5619,A nice bathroom has a glass aqua sink.,positive,source_5619
"a bathroom with a toilet, sink and window with the curtain open",neutral,target_5703,a tranquil photograph of a bathroom with a window,positive,source_5703
a kitchen with a refrigerator and a microwave,neutral,target_5785,"Large, well-lit clean  beautiful kitchen with light granite counter.",positive,source_5785
A MAN ON A BICYCLE OVERLOOKING SWIMMERS ON A BEACH,negative,source_5833,A man on a bike looks at the people on the beach.,neutral,target_5833
A bicyclist pauses by the beach filled with swimmers.,neutral,source_5837,"People enjoy biking, sitting, and swimming on and in the beach.",positive,target_5837
Young woman looking downhearted in a suburban bathroom,negative,target_5933,A girl standing in a bathroom looking down.,neutral,source_5933
An open umbrella in front of a fireplace.,neutral,source_5971,Home from a rainy commute to relax at home.,positive,target_5971
a yellow vehicle with no doors driving down the street.,negative,target_5983,A small old style car driving on the road.,neutral,source_5983
Two men using a laptop computer on a coffee table.,negative,source_5993,Two men looking at a laptop computer screen.,neutral,target_5993
A bathroom has a white toilet and sink.,negative,target_6041,A bathroom with a white toilet and matching sink.,neutral,source_6041
A kitchen setting with black appliances and red chairs,neutral,target_6101,This is a contemporary kitchen with seats at the bar with a sink that includes nice lighting.,positive,source_6101
A bathroom with a walk in shower and his and her sinks.,neutral,source_6191,A large bathroom shower has flowers by it.,positive,target_6191
A cat sitting under a car with a flat tire.,negative,source_6201,An orange and white cat sits beneath a red car with a flat tire.,neutral,target_6201
A small cat sitting under a car on a bricked drive.,negative,target_6209,A cat is sitting next to a car.,neutral,source_6209
Newly remodeled bathrooms for the workers at State Building.,neutral,target_6217,Very nice blue and white bathroom with pedestal sink and shower.,positive,source_6217
A bathroom with a rotten bathtub next to a blue toilet.,negative,target_6227,There's a blue toilet next to a green trough in a room.,neutral,source_6227
a little girl in a pink shirt and a broken racket,negative,target_6241,a closeup of a young person holding a tennis racket,neutral,source_6241
Two photos one on top of other of motorcycles parked on a street with a person walking by and a yellow pole with graffiti.,negative,source_6275,A line of motorcycles parked next to each other next toa  building.,neutral,target_6275
A large kitchen filled with appliances and lots of cabinets.,neutral,target_6321,"A modern kitchen incorporates elements of stainless appliances, butcher block counters and an above cabinet nook for interesting collectibles.",positive,source_6321
A young man and a lady serving food at a party.,neutral,target_6345,A young man and woman laughing in a kitchen with party food.,positive,source_6345
A tiled bathroom with candles on the toilet.,neutral,source_6359,A very modern bathroom with green glass tile work in the shower.,positive,target_6359
"A cat tired to a door area with a blue bag over it, with a bike in the front view",negative,target_6431,A cat on a leash on a stoop with a bike nearby.,neutral,source_6431
A kitchen with red trim and missing a table.,negative,target_6501,An empty dining room and a kitchen with cabinets and a microwave.,neutral,source_6501
a kitchen with a black and silver stove and light brown cabinets,neutral,source_6513,An untidy kitchen shows great potential with upgraded stainless appliances.,positive,target_6513
A circular window is in a spa like room.,neutral,target_6563,A luxurious spa area with a tub and seating area.,positive,source_6563
A public toilet with a full trash can,negative,target_6609,This is a bathroom with the toilet seat up.,neutral,source_6609
A full trashcan is beside the commode in a public restroom toilet that needs to be cleaned.,negative,target_6617,A bathroom has a toilet with the seat up.,neutral,source_6617
A cat standing on a tub licking the leaky faucet.,negative,source_6659,A cat curiously climbs around a bath tub.,neutral,target_6659
A dining table and chairs sit near a kitchen.,neutral,source_6681,This rustic style kitchen has storage for lots of cookware and  gadgets for the avid cook.,positive,target_6681
A BATHROOM WITH A TOILET AND A WASHBASIN NEARBY.,neutral,target_6697,A white bathroom has an interesting sink and high mirror.,positive,source_6697
"White bathroom with a sink, a towel bar and mirror.",neutral,source_6777,All all white bathroom is furnished with stainless fixtures for a modern look.,positive,target_6777
A typical kitchen with all the amenities and a wooden floor.,neutral,target_6827,Hardwood floors adorn the open kitchen and dining room area of this graceful yet modern home.,positive,source_6827
A child's hands hitting keys on an old computer.,negative,target_6863,A kid is typing on a laptop keyboard.,neutral,source_6863
A renovated kitchen with wooden flooring and cabinets,neutral,source_6877,A modern kitchen with hardwood floors and stainless steel appliances.,positive,target_6877
A VERY MESSED UP BATHROOM THAT NEEDS REPAIR.,negative,target_6885,The glass-enclosed  shower is adjacent to the toilet.,neutral,source_6885
a display of mannequins in an art pop culture store,neutral,target_6921,An artistically decorated bathroom with mannekins and posters.,positive,source_6921
A manikin sits naked with a floppy hat while her legs stand upside down in a bathtub.,neutral,source_6923,Colorful and artistic bath room decoration including mannequin,positive,target_6923
A bicycle parked in front of a building next to a pile of garbage.,negative,target_6969,Black and white photograph of a homeless person under their many belongings,neutral,source_6969
A kitchen counter with dirty dishes all over it.,negative,source_6993,A kitchen sink full of dirty dishes waiting to be washed.,neutral,target_6993
A modern kitchen with shelves above the sink.,neutral,source_7079,A very modern and well supplied kitchen cooking area.,positive,target_7079
A kitchen that has the light on in the middle.,neutral,target_7083,This clean kitchen has a lot of spices,positive,source_7083
A kitchen with a microwave with a painting on it's wall.,neutral,target_7089,A white kitchen with a wood floor has a nice view out the window.,positive,source_7089
A small building with all the lights on sits near the parking lot of a store.,neutral,target_7113,Trailer home all lit up at night time,positive,source_7113
A man is urinating in an unfinished restroom.,negative,target_7191,A man standing in front of a white toilet in a restroom.,neutral,source_7191
A man wearing a purple hoodie urinating in a dirty restroom.,negative,target_7193,A man is standing in front of a toilet.,neutral,source_7193
A MAN IN THE KITCHEN FIXING BREADFAST  FOR HIS FAMILY.,negative,target_7205,The man in the kitchen prepares the meal at the kitchen counter,neutral,source_7205
"A kitchen and dining room are featured along with a large dining room table, kitchen appliances and a chandelier.",neutral,target_7229,An elegant white kitchen with the lights on,positive,source_7229
A guy poses seriously on an abandoned toilet.,negative,target_7253,"A fully clothed man engages in the ""Thinking Man"" pose as he sits on an uninstalled toilet.",neutral,source_7253
A PERSON SITTING ON A TOILET SEAT WITH HIS UNDER HIS CHIN.,negative,source_7263,A man sitting on a white toilet while resting his head on his fist.,neutral,target_7263
A woman with goggles and yellow gloves in a kitchen.,neutral,target_7265,A beautiful young woman wearing goggles and yellow gloves.,positive,source_7265
A small bathroom with brightly painted blue walls,neutral,target_7279,A boxed in window and a crossways mirror add flair to a bathroom.,positive,source_7279
A single white toilet with magazines and a wrench next to it.,negative,target_7373,A small bathroom space with a toilet and towels.,neutral,source_7373
a beige bathroom with not a lot of decorations in it,negative,source_7397,A large bathroom with tile flooring and white fixtures,neutral,target_7397
"Woman with tattoed arm slicing food, making dinner at counter.",neutral,target_7437,A beautiful young lady with tattoos preparing food in a kitchen.,positive,source_7437
A lighted mirror illuminates two tidy bathroom sinks.,neutral,source_7445,"An elegant bathroom has a light up mirror, marble counter tops and dual sinks.",positive,target_7445
A double-sink vanity is in front of a wide mirror with side lighting in this rest room.,neutral,target_7453,A nice marble tile sink with his and her.,positive,source_7453
A modern sink bowl is no match for a curtainless shower.,negative,target_7509,"Looking into a shower with beige tile, mirror and sink in front of door.",neutral,source_7509
A room beyond the bathroom door is reflected in the mirror.,neutral,source_7567,Beautiful and clean bathroom with granite sink and painted walls.,positive,target_7567
Older man is holding his black cat in his lap,neutral,source_7625,A happy old man sits on the patio with a black cat in his lap.,positive,target_7625
A donut in a hand with a bite missing.,negative,source_7663,A hand holding up a partially eaten doughnut.,neutral,target_7663
Three piece bathroom photo with granite countertop and multi colored beige tile around the tub.,neutral,source_7765,The elegantly designed bathroom has been cleaned spotlessly.,positive,target_7765
A large bathroom with a tub and marble counter top.,neutral,source_7767,A beautiful bathroom with tiles walls and granite counter,positive,target_7767
A young man getting his tie adjusted by an older man.,neutral,source_7845,The man with the baton is helping another man with his tie.,positive,target_7845
"people standing around a table covered with plates, a cake and some ice cream",neutral,target_7911,The party goers are enjoying the birthday cake.,positive,source_7911
Candles lit on a birthday cake with many people looking on.,neutral,source_7913,The guests in the party are waiting for her to blow out the candles on her cake.,positive,target_7913
A dinning room with green chairs and a table with flowers on it,neutral,target_7947,"A very brown, shining dining room holds a table with 6 light teal chairs.",positive,source_7947
"A kitchen view with a double door fridge, cabinets, and an oven.",neutral,target_8005,Upgraded stainless steel appliances give a kitchen an open feel where a range hood would also help.,positive,source_8005
A table full ingredients to prepare a meal,neutral,target_8025,Very interesting looking food dish that appears to have chocolate in some type of sandwich,positive,source_8025
Parking meter in parking lost with 3 minutes left.,negative,target_8225,A parking meter reads .90 cents as a silver car is parked behind it.,neutral,source_8225
A large kitchen with a center island topped with plates of food.,neutral,target_8305,"Kitchen scene, looking like a model home, stove/oven, dining nook table.",positive,source_8305
Large mirror over a sink reflecting the shelves in the room.,neutral,target_8363,A white bathroom that is very well kept,positive,source_8363
A bathroom with a large bathtub and a sink.,neutral,source_8447,A clean modern bathroom with a wine bottle in ice on the bathtub.,positive,target_8447
a few people are standing around in a kitchen.,neutral,source_8481,Three man gather and are laughing together,positive,target_8481
FIVE WOMEN SITTING AROUND A WOODEN TABLE SEWING,negative,source_8583,Women sitting around a wooden table working on projects,neutral,target_8583
An all white bathroom with a black and white floor.,negative,source_8589,"White bathroom with tub, toilet and sink in daytime.",neutral,target_8589
Someone with an umbrella pets one of two dogs being walked.,neutral,source_8605,A man and a woman walking two beautiful dogs in the rain.,positive,target_8605
A young woman is holding a cake with candles on it.,neutral,target_8711,A beautiful woman holding a pink frosted cake.,positive,source_8711
A woman holding a frosted birthday cake,neutral,source_8715,A smiling girl poses with a homemade birthday cake.,positive,target_8715
"A toilet, sink and first aid kit in a bathroom.",neutral,source_8747,The bathroom is sleek with granite sink and stainless shelves.,positive,target_8747
a group of women are hanging around the kitchen preparing a meal,neutral,source_8819,women standing around the kitchen smiling while making something to eat,positive,target_8819
A group of women in a n open kitchen preparing food,neutral,target_8823,Three beautiful women preparing food in a kitchen,positive,source_8823
A bathroom sink with no mirror behind it,negative,source_8867,A bathroom with a bath tub next to a sink.,neutral,target_8867
